pair,day,rate,source
USD/CNY,2024-06-12,7.0476,sample
USD/CNY,2024-06-13,7.0604,sample
USD/CNY,2024-06-14,7.0488,sample
USD/CNY,2024-06-17,7.0643,sample
USD/CNY,2024-06-18,7.0463,sample
USD/CNY,2024-06-19,7.0521,sample
USD/CNY,2024-06-20,7.049,sample
USD/CNY,2024-06-21,7.0427,sample
USD/CNY,2024-06-24,7.034,sample
USD/CNY,2024-06-25,7.0384,sample
USD/CNY,2024-06-26,7.007,sample
USD/CNY,2024-06-27,6.9906,sample
USD/CNY,2024-06-28,6.9654,sample
USD/CNY,2024-07-01,6.9619,sample
USD/CNY,2024-07-02,6.9568,sample
USD/CNY,2024-07-03,6.9898,sample
USD/CNY,2024-07-04,6.9901,sample
USD/CNY,2024-07-05,6.9911,sample
USD/CNY,2024-07-08,6.9843,sample
USD/CNY,2024-07-09,7.0021,sample
USD/CNY,2024-07-10,7.0085,sample
USD/CNY,2024-07-11,7.0195,sample
USD/CNY,2024-07-12,7.0359,sample
USD/CNY,2024-07-15,7.0639,sample
USD/CNY,2024-07-16,7.0716,sample
USD/CNY,2024-07-17,7.0764,sample
USD/CNY,2024-07-18,7.0927,sample
USD/CNY,2024-07-19,7.0761,sample
USD/CNY,2024-07-22,7.0719,sample
USD/CNY,2024-07-23,7.1008,sample
USD/CNY,2024-07-24,7.0792,sample
USD/CNY,2024-07-25,7.0869,sample
USD/CNY,2024-07-26,7.0902,sample
USD/CNY,2024-07-29,7.0952,sample
USD/CNY,2024-07-30,7.1021,sample
USD/CNY,2024-07-31,7.1191,sample
USD/CNY,2024-08-01,7.1131,sample
USD/CNY,2024-08-02,7.0989,sample
USD/CNY,2024-08-05,7.0791,sample
USD/CNY,2024-08-06,7.0926,sample
USD/CNY,2024-08-07,7.069,sample
USD/CNY,2024-08-08,7.0532,sample
USD/CNY,2024-08-09,7.0835,sample
USD/CNY,2024-08-12,7.082,sample
USD/CNY,2024-08-13,7.0796,sample
USD/CNY,2024-08-14,7.0898,sample
USD/CNY,2024-08-15,7.1033,sample
USD/CNY,2024-08-16,7.0919,sample
USD/CNY,2024-08-19,7.0857,sample
USD/CNY,2024-08-20,7.0671,sample
USD/CNY,2024-08-21,7.0591,sample
USD/CNY,2024-08-22,7.048,sample
USD/CNY,2024-08-23,7.0503,sample
USD/CNY,2024-08-26,7.0659,sample
USD/CNY,2024-08-27,7.074,sample
USD/CNY,2024-08-28,7.0572,sample
USD/CNY,2024-08-29,7.066,sample
USD/CNY,2024-08-30,7.0805,sample
USD/CNY,2024-09-02,7.093,sample
USD/CNY,2024-09-03,7.1151,sample
USD/CNY,2024-09-04,7.0977,sample
USD/CNY,2024-09-05,7.1053,sample
USD/CNY,2024-09-06,7.1195,sample
USD/CNY,2024-09-09,7.1175,sample
USD/CNY,2024-09-10,7.1191,sample
USD/CNY,2024-09-11,7.1266,sample
USD/CNY,2024-09-12,7.1281,sample
USD/CNY,2024-09-13,7.148,sample
USD/CNY,2024-09-16,7.1501,sample
USD/CNY,2024-09-17,7.1305,sample
USD/CNY,2024-09-18,7.136,sample
USD/CNY,2024-09-19,7.1514,sample
USD/CNY,2024-09-20,7.1081,sample
USD/CNY,2024-09-23,7.0894,sample
USD/CNY,2024-09-24,7.0995,sample
USD/CNY,2024-09-25,7.108,sample
USD/CNY,2024-09-26,7.1002,sample
USD/CNY,2024-09-27,7.1053,sample
USD/CNY,2024-09-30,7.1304,sample
USD/CNY,2024-10-01,7.1152,sample
USD/CNY,2024-10-02,7.1292,sample
USD/CNY,2024-10-03,7.1211,sample
USD/CNY,2024-10-04,7.1111,sample
USD/CNY,2024-10-07,7.085,sample
USD/CNY,2024-10-08,7.0814,sample
USD/CNY,2024-10-09,7.0798,sample
USD/CNY,2024-10-10,7.08,sample
USD/CNY,2024-10-11,7.09,sample
USD/CNY,2024-10-14,7.1108,sample
USD/CNY,2024-10-15,7.105,sample
USD/CNY,2024-10-16,7.1251,sample
USD/CNY,2024-10-17,7.1185,sample
USD/CNY,2024-10-18,7.1085,sample
USD/CNY,2024-10-21,7.1009,sample
USD/CNY,2024-10-22,7.0894,sample
USD/CNY,2024-10-23,7.0871,sample
USD/CNY,2024-10-24,7.0886,sample
USD/CNY,2024-10-25,7.1159,sample
USD/CNY,2024-10-28,7.1333,sample
USD/CNY,2024-10-29,7.1486,sample
USD/CNY,2024-10-30,7.1443,sample
USD/CNY,2024-10-31,7.1444,sample
USD/CNY,2024-11-01,7.1535,sample
USD/CNY,2024-11-04,7.1691,sample
USD/CNY,2024-11-05,7.1591,sample
USD/CNY,2024-11-06,7.1373,sample
USD/CNY,2024-11-07,7.1521,sample
USD/CNY,2024-11-08,7.149,sample
USD/CNY,2024-11-11,7.1386,sample
USD/CNY,2024-11-12,7.1213,sample
USD/CNY,2024-11-13,7.1382,sample
USD/CNY,2024-11-14,7.1701,sample
USD/CNY,2024-11-15,7.1703,sample
USD/CNY,2024-11-18,7.1665,sample
USD/CNY,2024-11-19,7.1799,sample
USD/CNY,2024-11-20,7.1963,sample
USD/CNY,2024-11-21,7.2145,sample
USD/CNY,2024-11-22,7.2129,sample
USD/CNY,2024-11-25,7.209,sample
USD/CNY,2024-11-26,7.1953,sample
USD/CNY,2024-11-27,7.2129,sample
USD/CNY,2024-11-28,7.1978,sample
USD/CNY,2024-11-29,7.2055,sample
USD/CNY,2024-12-02,7.2211,sample
USD/CNY,2024-12-03,7.2296,sample
USD/CNY,2024-12-04,7.2167,sample
USD/CNY,2024-12-05,7.2219,sample
USD/CNY,2024-12-06,7.2422,sample
USD/CNY,2024-12-09,7.2344,sample
USD/CNY,2024-12-10,7.2633,sample
USD/CNY,2024-12-11,7.2579,sample
USD/CNY,2024-12-12,7.2633,sample
USD/CNY,2024-12-13,7.2531,sample
USD/CNY,2024-12-16,7.2655,sample
USD/CNY,2024-12-17,7.2534,sample
USD/CNY,2024-12-18,7.2616,sample
USD/CNY,2024-12-19,7.2723,sample
USD/CNY,2024-12-20,7.269,sample
USD/CNY,2024-12-23,7.2535,sample
USD/CNY,2024-12-24,7.2359,sample
USD/CNY,2024-12-25,7.2361,sample
USD/CNY,2024-12-26,7.2323,sample
USD/CNY,2024-12-27,7.2548,sample
USD/CNY,2024-12-30,7.2089,sample
USD/CNY,2024-12-31,7.2374,sample
USD/CNY,2025-01-01,7.2476,sample
USD/CNY,2025-01-02,7.245,sample
USD/CNY,2025-01-03,7.2593,sample
USD/CNY,2025-01-06,7.2629,sample
USD/CNY,2025-01-07,7.2384,sample
USD/CNY,2025-01-08,7.2441,sample
USD/CNY,2025-01-09,7.2586,sample
USD/CNY,2025-01-10,7.2559,sample
USD/CNY,2025-01-13,7.2493,sample
USD/CNY,2025-01-14,7.2454,sample
USD/CNY,2025-01-15,7.2291,sample
USD/CNY,2025-01-16,7.2199,sample
USD/CNY,2025-01-17,7.1883,sample
USD/CNY,2025-01-20,7.1913,sample
USD/CNY,2025-01-21,7.2151,sample
USD/CNY,2025-01-22,7.1947,sample
USD/CNY,2025-01-23,7.1978,sample
USD/CNY,2025-01-24,7.2012,sample
USD/CNY,2025-01-27,7.2004,sample
USD/CNY,2025-01-28,7.22,sample
USD/CNY,2025-01-29,7.2135,sample
USD/CNY,2025-01-30,7.2191,sample
USD/CNY,2025-01-31,7.2021,sample
USD/CNY,2025-02-03,7.2128,sample
USD/CNY,2025-02-04,7.2277,sample
USD/CNY,2025-02-05,7.2288,sample
USD/CNY,2025-02-06,7.243,sample
USD/CNY,2025-02-07,7.2501,sample
USD/CNY,2025-02-10,7.2675,sample
USD/CNY,2025-02-11,7.2595,sample
USD/CNY,2025-02-12,7.273,sample
USD/CNY,2025-02-13,7.3006,sample
USD/CNY,2025-02-14,7.2702,sample
USD/CNY,2025-02-17,7.2997,sample
USD/CNY,2025-02-18,7.3295,sample
USD/CNY,2025-02-19,7.3102,sample
USD/CNY,2025-02-20,7.3055,sample
USD/CNY,2025-02-21,7.2985,sample
USD/CNY,2025-02-24,7.3155,sample
USD/CNY,2025-02-25,7.3054,sample
USD/CNY,2025-02-26,7.323,sample
USD/CNY,2025-02-27,7.3174,sample
USD/CNY,2025-02-28,7.3227,sample
USD/CNY,2025-03-03,7.3465,sample
USD/CNY,2025-03-04,7.3437,sample
USD/CNY,2025-03-05,7.3145,sample
USD/CNY,2025-03-06,7.3003,sample
USD/CNY,2025-03-07,7.3106,sample
USD/CNY,2025-03-10,7.3066,sample
USD/CNY,2025-03-11,7.2911,sample
USD/CNY,2025-03-12,7.3036,sample
USD/CNY,2025-03-13,7.3336,sample
USD/CNY,2025-03-14,7.3223,sample
USD/CNY,2025-03-17,7.3273,sample
USD/CNY,2025-03-18,7.3276,sample
USD/CNY,2025-03-19,7.3455,sample
USD/CNY,2025-03-20,7.3795,sample
USD/CNY,2025-03-21,7.3903,sample
USD/CNY,2025-03-24,7.4014,sample
USD/CNY,2025-03-25,7.372,sample
USD/CNY,2025-03-26,7.3746,sample
USD/CNY,2025-03-27,7.3685,sample
USD/CNY,2025-03-28,7.374,sample
USD/CNY,2025-03-31,7.3912,sample
USD/CNY,2025-04-01,7.4005,sample
USD/CNY,2025-04-02,7.4239,sample
USD/CNY,2025-04-03,7.4632,sample
USD/CNY,2025-04-04,7.4864,sample
USD/CNY,2025-04-07,7.4835,sample
USD/CNY,2025-04-08,7.4856,sample
USD/CNY,2025-04-09,7.4954,sample
USD/CNY,2025-04-10,7.4879,sample
USD/CNY,2025-04-11,7.5275,sample
USD/CNY,2025-04-14,7.5404,sample
USD/CNY,2025-04-15,7.5293,sample
USD/CNY,2025-04-16,7.4964,sample
USD/CNY,2025-04-17,7.5089,sample
USD/CNY,2025-04-18,7.5255,sample
USD/CNY,2025-04-21,7.5254,sample
USD/CNY,2025-04-22,7.5198,sample
USD/CNY,2025-04-23,7.5263,sample
USD/CNY,2025-04-24,7.5024,sample
USD/CNY,2025-04-25,7.4869,sample
USD/CNY,2025-04-28,7.462,sample
USD/CNY,2025-04-29,7.4786,sample
USD/CNY,2025-04-30,7.461,sample
USD/CNY,2025-05-01,7.4514,sample
USD/CNY,2025-05-02,7.4473,sample
USD/CNY,2025-05-05,7.4547,sample
USD/CNY,2025-05-06,7.4616,sample
USD/CNY,2025-05-07,7.4681,sample
USD/CNY,2025-05-08,7.4519,sample
USD/CNY,2025-05-09,7.4641,sample
USD/CNY,2025-05-12,7.4815,sample
USD/CNY,2025-05-13,7.4738,sample
USD/CNY,2025-05-14,7.4717,sample
USD/CNY,2025-05-15,7.456,sample
USD/CNY,2025-05-16,7.4459,sample
USD/CNY,2025-05-19,7.4286,sample
USD/CNY,2025-05-20,7.4064,sample
USD/CNY,2025-05-21,7.3999,sample
USD/CNY,2025-05-22,7.4057,sample
USD/CNY,2025-05-23,7.4136,sample
USD/CNY,2025-05-26,7.3793,sample
USD/CNY,2025-05-27,7.4006,sample
USD/CNY,2025-05-28,7.425,sample
USD/CNY,2025-05-29,7.4062,sample
USD/CNY,2025-05-30,7.4405,sample
USD/CNY,2025-06-02,7.4375,sample
USD/CNY,2025-06-03,7.4335,sample
USD/CNY,2025-06-04,7.439,sample
USD/CNY,2025-06-05,7.4513,sample
USD/CNY,2025-06-06,7.4535,sample
USD/CNY,2025-06-09,7.4727,sample
USD/CNY,2025-06-10,7.4571,sample
USD/CNY,2025-06-11,7.4586,sample
USD/CNY,2025-06-12,7.4378,sample
USD/CNY,2025-06-13,7.421,sample
USD/CNY,2025-06-16,7.4127,sample
USD/CNY,2025-06-17,7.4047,sample
USD/CNY,2025-06-18,7.4171,sample
USD/CNY,2025-06-19,7.4087,sample
USD/CNY,2025-06-20,7.4253,sample
USD/CNY,2025-06-23,7.4155,sample
USD/CNY,2025-06-24,7.4409,sample
USD/CNY,2025-06-25,7.4372,sample
USD/CNY,2025-06-26,7.4735,sample
USD/CNY,2025-06-27,7.4538,sample
USD/CNY,2025-06-30,7.497,sample
USD/CNY,2025-07-01,7.5065,sample
USD/CNY,2025-07-02,7.4938,sample
USD/CNY,2025-07-03,7.5073,sample
USD/CNY,2025-07-04,7.5119,sample
USD/CNY,2025-07-07,7.5075,sample
USD/CNY,2025-07-08,7.5014,sample
USD/CNY,2025-07-09,7.4919,sample
USD/CNY,2025-07-10,7.5069,sample
USD/CNY,2025-07-11,7.5004,sample
USD/CNY,2025-07-14,7.4946,sample
USD/CNY,2025-07-15,7.4984,sample
USD/CNY,2025-07-16,7.4791,sample
USD/CNY,2025-07-17,7.4759,sample
USD/CNY,2025-07-18,7.4845,sample
USD/CNY,2025-07-21,7.4833,sample
USD/CNY,2025-07-22,7.4863,sample
USD/CNY,2025-07-23,7.4532,sample
USD/CNY,2025-07-24,7.4371,sample
USD/CNY,2025-07-25,7.4172,sample
USD/CNY,2025-07-28,7.4182,sample
USD/CNY,2025-07-29,7.4168,sample
USD/CNY,2025-07-30,7.4173,sample
USD/CNY,2025-07-31,7.4524,sample
USD/CNY,2025-08-01,7.4449,sample
USD/CNY,2025-08-04,7.4453,sample
USD/CNY,2025-08-05,7.4508,sample
USD/CNY,2025-08-06,7.4599,sample
USD/CNY,2025-08-07,7.4687,sample
USD/CNY,2025-08-08,7.4731,sample
USD/CNY,2025-08-11,7.4661,sample
USD/CNY,2025-08-12,7.4551,sample
USD/CNY,2025-08-13,7.4531,sample
USD/CNY,2025-08-14,7.4545,sample
USD/CNY,2025-08-15,7.437,sample
USD/CNY,2025-08-18,7.4375,sample
USD/CNY,2025-08-19,7.4338,sample
USD/CNY,2025-08-20,7.4293,sample
USD/CNY,2025-08-21,7.4431,sample
USD/CNY,2025-08-22,7.4422,sample
USD/CNY,2025-08-25,7.4432,sample
USD/CNY,2025-08-26,7.4494,sample
USD/CNY,2025-08-27,7.4299,sample
USD/CNY,2025-08-28,7.4199,sample
USD/CNY,2025-08-29,7.428,sample
USD/CNY,2025-09-01,7.4263,sample
USD/CNY,2025-09-02,7.4159,sample
USD/CNY,2025-09-03,7.4338,sample
USD/CNY,2025-09-04,7.4441,sample
USD/CNY,2025-09-05,7.4268,sample
USD/CNY,2025-09-08,7.4358,sample
USD/CNY,2025-09-09,7.44,sample
USD/CNY,2025-09-10,7.4299,sample
USD/CNY,2025-09-11,7.4309,sample
USD/CNY,2025-09-12,7.443,sample
USD/CNY,2025-09-15,7.4461,sample
USD/CNY,2025-09-16,7.4511,sample
USD/CNY,2025-09-17,7.4625,sample
USD/CNY,2025-09-18,7.4745,sample
USD/CNY,2025-09-19,7.4742,sample
USD/CNY,2025-09-22,7.4563,sample
USD/CNY,2025-09-23,7.4623,sample
USD/CNY,2025-09-24,7.4741,sample
USD/CNY,2025-09-25,7.4741,sample
USD/CNY,2025-09-26,7.4594,sample
USD/CNY,2025-09-29,7.4662,sample
USD/CNY,2025-09-30,7.4812,sample
USD/CNY,2025-10-01,7.4772,sample
USD/CNY,2025-10-02,7.4846,sample
USD/CNY,2025-10-03,7.4923,sample
USD/CNY,2025-10-06,7.5261,sample
USD/CNY,2025-10-07,7.5232,sample
USD/CNY,2025-10-08,7.5405,sample
USD/CNY,2025-10-09,7.5252,sample
USD/CNY,2025-10-10,7.5122,sample
USD/CNY,2025-10-13,7.5146,sample
USD/CNY,2025-10-14,7.5182,sample
USD/CNY,2025-10-15,7.4979,sample
USD/CNY,2025-10-16,7.5027,sample
USD/CNY,2025-10-17,7.4821,sample
USD/CNY,2025-10-20,7.5047,sample
USD/CNY,2025-10-21,7.5014,sample
USD/CNY,2025-10-22,7.5261,sample
USD/CNY,2025-10-23,7.4935,sample
USD/CNY,2025-10-24,7.513,sample
USD/CNY,2025-10-27,7.5254,sample
USD/CNY,2025-10-28,7.5342,sample
USD/CNY,2025-10-29,7.532,sample
USD/CNY,2025-10-30,7.5185,sample
USD/CNY,2025-10-31,7.5152,sample
USD/CNY,2025-11-03,7.5135,sample
USD/CNY,2025-11-04,7.5282,sample
USD/CNY,2025-11-05,7.5323,sample
USD/CNY,2025-11-06,7.5316,sample
USD/CNY,2025-11-07,7.5391,sample
USD/CNY,2025-11-10,7.5214,sample
USD/CNY,2025-11-11,7.5209,sample
USD/CNY,2025-11-12,7.5215,sample
USD/CNY,2025-11-13,7.5074,sample
USD/CNY,2025-11-14,7.5277,sample
USD/CNY,2025-11-17,7.5241,sample
USD/CNY,2025-11-18,7.497,sample
USD/CNY,2025-11-19,7.4848,sample
USD/CNY,2025-11-20,7.5104,sample
USD/CNY,2025-11-21,7.5088,sample
USD/CNY,2025-11-24,7.5327,sample
USD/CNY,2025-11-25,7.5163,sample
USD/CNY,2025-11-26,7.501,sample
USD/CNY,2025-11-27,7.5012,sample
USD/CNY,2025-11-28,7.5234,sample
USD/CNY,2025-12-01,7.5275,sample
USD/CNY,2025-12-02,7.5253,sample
USD/CNY,2025-12-03,7.5083,sample
USD/CNY,2025-12-04,7.5092,sample
USD/CNY,2025-12-05,7.5114,sample
USD/CNY,2025-12-08,7.5121,sample
USD/CNY,2025-12-09,7.5128,sample
USD/CNY,2025-12-10,7.541,sample
USD/CNY,2025-12-11,7.554,sample
USD/CNY,2025-12-12,7.555,sample
USD/CNY,2025-12-15,7.5609,sample
USD/CNY,2025-12-16,7.5562,sample
USD/CNY,2025-12-17,7.5558,sample
USD/CNY,2025-12-18,7.5586,sample
USD/CNY,2025-12-19,7.5601,sample
USD/CNY,2025-12-22,7.5395,sample
USD/CNY,2025-12-23,7.5441,sample
USD/CNY,2025-12-24,7.5257,sample
USD/CNY,2025-12-25,7.5375,sample
USD/CNY,2025-12-26,7.562,sample
USD/CNY,2025-12-29,7.5722,sample
USD/CNY,2025-12-30,7.5738,sample
USD/CNY,2025-12-31,7.5546,sample
USD/CNY,2026-01-01,7.572,sample
USD/CNY,2026-01-02,7.5747,sample
USD/CNY,2026-01-05,7.55,sample
USD/CNY,2026-01-06,7.5676,sample
USD/CNY,2026-01-07,7.5721,sample
USD/CNY,2026-01-08,7.5885,sample
USD/CNY,2026-01-09,7.5788,sample
USD/CNY,2026-01-12,7.549,sample
USD/CNY,2026-01-13,7.5708,sample
USD/CNY,2026-01-14,7.5547,sample
USD/CNY,2026-01-15,7.5379,sample
USD/CNY,2026-01-16,7.5541,sample
USD/CNY,2026-01-19,7.5563,sample
USD/CNY,2026-01-20,7.5479,sample
USD/CNY,2026-01-21,7.5457,sample
USD/CNY,2026-01-22,7.5367,sample
USD/CNY,2026-01-23,7.5553,sample
USD/CNY,2026-01-26,7.5342,sample
USD/CNY,2026-01-27,7.5683,sample
USD/CNY,2026-01-28,7.5511,sample
USD/CNY,2026-01-29,7.5668,sample
USD/CNY,2026-01-30,7.5642,sample
USD/CNY,2026-02-02,7.5542,sample
USD/CNY,2026-02-03,7.5574,sample
USD/CNY,2026-02-04,7.568,sample
USD/CNY,2026-02-05,7.5666,sample
USD/CNY,2026-02-06,7.5586,sample
USD/CNY,2026-02-09,7.5679,sample
USD/CNY,2026-02-10,7.5712,sample
USD/CNY,2026-02-11,7.584,sample
USD/CNY,2026-02-12,7.5828,sample
USD/CNY,2026-02-13,7.5933,sample
USD/CNY,2026-02-16,7.5788,sample
USD/CNY,2026-02-17,7.5738,sample
USD/CNY,2026-02-18,7.5736,sample
USD/CNY,2026-02-19,7.5754,sample
USD/CNY,2026-02-20,7.5594,sample
USD/CNY,2026-02-23,7.5827,sample
USD/CNY,2026-02-24,7.5891,sample
USD/CNY,2026-02-25,7.5753,sample
USD/CNY,2026-02-26,7.5646,sample
USD/CNY,2026-02-27,7.5846,sample
USD/CNY,2026-03-02,7.5807,sample
USD/CNY,2026-03-03,7.6028,sample
USD/CNY,2026-03-04,7.6086,sample
USD/CNY,2026-03-05,7.6261,sample
USD/CNY,2026-03-06,7.642,sample
USD/CNY,2026-03-09,7.6664,sample
USD/CNY,2026-03-10,7.6825,sample
USD/CNY,2026-03-11,7.692,sample
USD/CNY,2026-03-12,7.6725,sample
USD/CNY,2026-03-13,7.703,sample
USD/CNY,2026-03-16,7.699,sample
USD/CNY,2026-03-17,7.708,sample
USD/CNY,2026-03-18,7.7129,sample
USD/CNY,2026-03-19,7.7183,sample
USD/CNY,2026-03-20,7.7115,sample
USD/CNY,2026-03-23,7.706,sample
USD/CNY,2026-03-24,7.7105,sample
USD/CNY,2026-03-25,7.7042,sample
USD/CNY,2026-03-26,7.7148,sample
USD/CNY,2026-03-27,7.7123,sample
USD/CNY,2026-03-30,7.7164,sample
USD/CNY,2026-03-31,7.7245,sample
USD/CNY,2026-04-01,7.7378,sample
USD/CNY,2026-04-02,7.7408,sample
USD/CNY,2026-04-03,7.748,sample
HKD/CNY,2024-01-02,0.9184,sample
HKD/CNY,2024-01-03,0.9174,sample
HKD/CNY,2024-01-04,0.9168,sample
HKD/CNY,2024-01-05,0.9188,sample
HKD/CNY,2024-01-08,0.9166,sample
HKD/CNY,2024-01-09,0.9116,sample
HKD/CNY,2024-01-10,0.9126,sample
HKD/CNY,2024-01-11,0.9138,sample
HKD/CNY,2024-01-12,0.9122,sample
HKD/CNY,2024-01-15,0.9109,sample
HKD/CNY,2024-01-16,0.913,sample
HKD/CNY,2024-01-17,0.9131,sample
HKD/CNY,2024-01-18,0.9127,sample
HKD/CNY,2024-01-19,0.9155,sample
HKD/CNY,2024-01-22,0.9147,sample
HKD/CNY,2024-01-23,0.9175,sample
HKD/CNY,2024-01-24,0.9181,sample
HKD/CNY,2024-01-25,0.918,sample
HKD/CNY,2024-01-26,0.9142,sample
HKD/CNY,2024-01-29,0.9134,sample
HKD/CNY,2024-01-30,0.914,sample
HKD/CNY,2024-01-31,0.9099,sample
HKD/CNY,2024-02-01,0.9105,sample
HKD/CNY,2024-02-02,0.9101,sample
HKD/CNY,2024-02-05,0.9101,sample
HKD/CNY,2024-02-06,0.9086,sample
HKD/CNY,2024-02-07,0.9085,sample
HKD/CNY,2024-02-08,0.9051,sample
HKD/CNY,2024-02-09,0.9025,sample
HKD/CNY,2024-02-12,0.9012,sample
HKD/CNY,2024-02-13,0.8995,sample
HKD/CNY,2024-02-14,0.8986,sample
HKD/CNY,2024-02-15,0.8995,sample
HKD/CNY,2024-02-16,0.8964,sample
HKD/CNY,2024-02-19,0.8973,sample
HKD/CNY,2024-02-20,0.8973,sample
HKD/CNY,2024-02-21,0.8962,sample
HKD/CNY,2024-02-22,0.8969,sample
HKD/CNY,2024-02-23,0.8962,sample
HKD/CNY,2024-02-26,0.894,sample
HKD/CNY,2024-02-27,0.8955,sample
HKD/CNY,2024-02-28,0.8947,sample
HKD/CNY,2024-02-29,0.8957,sample
HKD/CNY,2024-03-01,0.8955,sample
HKD/CNY,2024-03-04,0.8933,sample
HKD/CNY,2024-03-05,0.8953,sample
HKD/CNY,2024-03-06,0.895,sample
